user_id,login_hour,session_duration,ip_address,failed_attempts,day_of_week,event_type,timestamp,is_business_hours,is_night,is_weekend,short_session,long_session,high_failed_attempts,night_weekend,night_weekday,failed_night,ip_last_octet,ip_risk,true_anomaly,predicted_anomaly,final_anomaly,anomaly_score
user_6,13,2,192.168.1.244,4,4,login,2025-03-15 13:37:37.140207,1,0,0,1,0,1,0,0,0,244,1,1,1,1,0.21168788212704368
user_5,20,97,192.168.1.150,3,3,login,2025-04-04 20:07:37.157320,0,0,0,0,0,1,0,0,0,150,0,1,0,0,1.0643988460223566
user_9,2,10,192.168.1.57,1,4,login,2025-03-16 02:04:37.157320,0,1,0,0,0,0,0,1,1,57,0,1,0,0,0.5997195016504826
user_6,7,70,192.168.1.65,0,1,logout,2025-03-14 07:01:37.151229,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0.7115514515118629
user_5,5,16,192.168.1.241,0,2,login,2025-04-07 05:09:37.131183,0,1,0,0,0,0,0,1,0,241,1,1,0,0,0.5474065069907268
user_2,11,93,192.168.1.234,1,2,logout,2025-03-18 11:36:37.152309,1,0,0,0,0,0,0,0,0,234,1,0,0,0,0.6915703554243706
user_5,13,15,192.168.1.6,0,2,logout,2025-04-03 13:36:37.148224,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0.2691611562010479
user_8,16,98,192.168.1.160,2,3,login,2025-03-28 16:52:37.139205,1,0,0,0,0,0,0,0,0,160,0,0,0,0,0.835071591261235
user_10,9,8,192.168.1.29,3,5,login,2025-03-31 09:01:37.166336,1,0,1,0,0,1,0,0,0,29,0,1,0,0,0.1739105458051701
user_10,1,180,192.168.1.100,1,1,login,2025-04-08 01:53:37.109534,0,1,0,0,1,0,0,1,1,100,0,1,1,1,-0.2876167365084011
user_8,19,58,192.168.1.49,1,5,login,2025-04-02 19:00:37.162329,0,0,1,0,0,0,0,0,0,49,0,0,0,0,0.9236828495583636
user_8,0,1,192.168.1.224,2,1,login,2025-03-17 08:17:37.103511,0,1,0,1,0,0,0,1,2,224,1,1,1,1,0.08527464352466448
user_7,16,113,192.168.1.160,3,6,login,2025-04-10 16:30:37.149226,1,0,1,0,0,1,0,0,0,160,0,1,1,1,-0.03948787650246291
user_5,19,97,192.168.1.141,3,2,login,2025-03-31 19:37:37.175416,0,0,0,0,0,1,0,0,0,141,0,1,0,0,1.1546458840155198
user_6,18,96,192.168.1.148,1,4,logout,2025-03-19 18:28:37.172408,1,0,0,0,0,0,0,0,0,148,0,0,0,0,0.5425734699737261
user_4,0,78,192.168.1.95,2,1,login,2025-03-30 00:13:37.169403,0,1,0,0,0,0,0,1,2,95,0,1,0,0,0.3353639772732649
user_4,7,49,192.168.1.99,3,0,login,2025-03-30 07:46:37.121150,0,0,0,0,0,1,0,0,0,99,0,1,0,0,0.8957350488359312
user_8,5,93,192.168.1.201,0,3,logout,2025-03-23 05:21:37.168401,0,1,0,0,0,0,0,1,0,201,1,1,0,0,0.6280206075188711
user_4,6,116,192.168.1.201,4,4,login,2025-03-31 06:32:37.158322,0,0,0,0,0,1,0,0,0,201,1,1,0,0,0.9769572064112234
user_1,14,54,192.168.1.154,4,6,login,2025-03-30 14:47:37.124170,1,0,1,0,0,1,0,0,0,154,0,1,0,0,0.3569338926793005
user_9,21,8,192.168.1.215,3,0,login,2025-03-14 21:48:37.142210,0,0,0,0,0,1,0,0,0,215,1,1,1,1,-0.11112105046428138
user_8,1,1,192.168.1.35,3,1,login,2025-03-31 20:06:37.112540,0,1,0,1,0,1,0,1,3,35,0,1,1,1,0.17602355142504947
user_8,0,76,192.168.1.117,1,2,login,2025-04-03 00:53:37.128177,0,1,0,0,0,0,0,1,1,117,0,1,0,0,0.3896041482911927
user_3,21,111,192.168.1.245,3,3,login,2025-03-24 21:34:37.140207,0,0,0,0,0,1,0,0,0,245,1,1,0,0,0.6710635582446184
user_5,11,41,192.168.1.212,3,1,login,2025-03-20 11:08:37.116054,1,0,0,0,0,1,0,0,0,212,1,1,0,0,0.9050016606976199
user_4,23,89,192.168.1.141,3,5,logout,2025-03-30 23:21:37.118060,0,1,1,0,0,1,1,0,3,141,0,1,1,1,0.3489112269396836
user_3,2,91,192.168.1.122,7,1,login,2025-03-14 02:27:37.106529,0,1,0,0,0,1,0,1,7,122,0,1,1,1,-0.2546894832504389
user_2,4,41,192.168.1.60,3,0,login,2025-03-13 04:41:37.176469,0,1,0,0,0,1,0,1,3,60,0,1,0,0,0.608811132796843
user_10,10,33,192.168.1.92,2,6,login,2025-04-03 10:35:37.169403,1,0,1,0,0,0,0,0,0,92,0,0,0,0,0.32238568459241684
user_2,21,16,192.168.1.238,2,4,login,2025-03-31 21:37:37.173410,0,0,0,0,0,0,0,0,0,238,1,0,0,0,0.5612800771520856
user_3,11,95,192.168.1.202,1,3,login,2025-04-08 11:37:37.126173,1,0,0,0,0,0,0,0,0,202,1,0,0,0,0.716086022523045
user_8,19,72,192.168.1.78,9,6,login,2025-03-27 19:37:37.109534,0,0,1,0,0,1,0,0,0,78,0,1,1,1,-0.6176987296817468
user_5,21,22,192.168.1.173,1,3,login,2025-04-08 21:42:37.148224,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0.6352950097005572
user_2,21,78,192.168.1.158,1,3,login,2025-03-21 21:36:37.138203,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0.9318245507126472
user_4,6,112,192.168.1.76,2,2,login,2025-03-24 06:53:37.128177,0,0,0,0,0,0,0,0,0,76,0,0,0,0,1.0883466981946928
user_3,3,180,192.168.1.5,3,1,login,2025-03-24 08:08:37.115049,0,1,0,0,1,1,0,1,3,5,1,1,1,1,-0.27480794373478373
user_1,11,81,192.168.1.43,2,4,login,2025-04-07 11:28:37.153311,1,0,0,0,0,0,0,0,0,43,0,0,0,0,0.9638018845796872
user_1,5,57,192.168.1.175,0,2,login,2025-04-09 05:48:37.145216,0,1,0,0,0,0,0,1,0,175,0,1,0,0,0.7386104394839302
user_8,9,84,192.168.1.73,3,3,login,2025-03-15 09:55:37.169403,1,0,0,0,0,1,0,0,0,73,0,1,0,0,0.8943810902125978
user_4,9,4,192.168.1.134,5,2,login,2025-03-19 09:47:37.102509,1,0,0,1,0,1,0,0,0,134,0,1,0,1,0.18346716796940235
user_5,11,93,192.168.1.161,1,4,login,2025-03-25 11:40:37.125171,1,0,0,0,0,0,0,0,0,161,0,0,0,0,0.7397254559290093
user_7,3,48,192.168.1.13,8,3,login,2025-03-14 03:26:37.105527,0,1,0,0,0,1,0,1,8,13,0,1,1,1,0.2668610451607393
user_8,9,76,192.168.1.118,0,5,login,2025-04-04 09:43:37.124170,1,0,1,0,0,0,0,0,0,118,0,0,0,0,0.28732571421424646
user_7,9,34,192.168.1.16,3,5,login,2025-03-27 09:01:37.175416,1,0,1,0,0,1,0,0,0,16,0,1,0,0,0.5490482399655011
user_2,4,78,192.168.1.173,2,2,login,2025-04-10 04:53:37.123167,0,1,0,0,0,0,0,1,2,173,0,1,0,0,1.0516784780295438
user_7,5,115,192.168.1.220,2,2,login,2025-04-09 05:49:37.121150,0,1,0,0,0,0,0,1,2,220,1,1,0,0,0.9536063109055634
user_6,12,90,192.168.1.188,2,3,login,2025-03-13 12:01:37.171406,1,0,0,0,0,0,0,0,0,188,0,0,0,0,0.9924322157320725
user_10,8,47,192.168.1.137,0,2,login,2025-04-01 08:50:37.146220,1,0,0,0,0,0,0,0,0,137,0,0,0,0,0.36842635294905035
user_4,23,97,192.168.1.76,1,0,logout,2025-04-03 23:48:37.133186,0,1,0,0,0,0,0,1,1,76,0,1,1,1,0.011456751051400036
user_2,18,55,192.168.1.205,0,6,login,2025-03-22 18:44:37.164333,1,0,1,0,0,0,0,0,0,205,1,0,0,0,0.04633631355726987
user_10,13,6,192.168.1.174,0,1,login,2025-03-27 13:17:37.144214,1,0,0,0,0,0,0,0,0,174,0,0,1,1,0.026248115180867383
user_5,16,95,192.168.1.126,4,5,logout,2025-03-25 16:07:37.167399,1,0,1,0,0,1,0,0,0,126,0,1,0,0,0.4479838099962472
user_1,19,86,192.168.1.134,4,0,login,2025-04-10 19:16:37.120064,0,0,0,0,0,1,0,0,0,134,0,1,0,0,0.6410990668788991
user_1,13,63,192.168.1.213,0,0,login,2025-03-24 13:32:37.144214,1,0,0,0,0,0,0,0,0,213,1,0,0,0,0.14354240583122216
user_6,1,180,192.168.1.229,4,0,login,2025-03-31 05:59:37.099496,0,1,0,0,1,1,0,1,4,229,1,1,1,1,-1.0399533670146062
user_6,2,1,192.168.1.236,0,3,login,2025-03-21 05:27:37.099496,0,1,0,1,0,0,0,1,0,236,1,1,1,1,0.1329703736557713
user_6,4,8,192.168.1.46,2,0,login,2025-04-11 04:50:37.147222,0,1,0,0,0,0,0,1,2,46,0,1,0,0,0.36471581848948514
user_1,3,180,192.168.1.85,3,5,logout,2025-03-15 23:25:37.097491,0,1,1,0,1,1,1,0,3,85,0,1,1,1,0.26755945943405135
user_3,20,94,192.168.1.107,2,0,login,2025-03-22 20:16:37.117058,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0.5647193381802761
user_1,15,62,192.168.1.162,2,4,login,2025-04-08 15:29:37.163331,1,0,0,0,0,0,0,0,0,162,0,0,0,0,1.0915665956491645
user_1,7,92,192.168.1.122,4,5,login,2025-04-04 07:09:37.122163,0,0,1,0,0,1,0,0,0,122,0,1,0,0,0.9694556407932045
user_5,5,16,192.168.1.186,9,0,logout,2025-04-02 05:21:37.101507,0,1,0,0,0,1,0,1,9,186,0,1,1,1,-1.0179226508332686
user_10,1,8,192.168.1.237,2,2,login,2025-04-10 01:24:37.142210,0,1,0,0,0,0,0,1,2,237,1,1,0,0,0.5014644628454145
user_2,11,99,192.168.1.148,3,1,login,2025-03-16 11:26:37.116054,1,0,0,0,0,1,0,0,0,148,0,1,0,0,0.6761607775849086
user_9,15,68,192.168.1.29,1,3,login,2025-03-29 15:04:37.146220,1,0,0,0,0,0,0,0,0,29,0,0,0,0,1.014064488277511
user_4,8,40,192.168.1.213,4,0,login,2025-03-19 08:26:37.153311,1,0,0,0,0,1,0,0,0,213,1,1,0,0,0.3039218677302162
user_4,15,119,192.168.1.91,0,0,login,2025-03-18 15:21:37.151229,1,0,0,0,0,0,0,0,0,91,0,0,1,1,-0.4025683810797493
