user_id,login_hour,session_duration,ip_address,failed_attempts,day_of_week,event_type,timestamp
user_1,9,66,192.168.1.68,3,1,login,2025-03-19 09:40:37.142210
user_10,7,119,192.168.1.156,4,1,login,2025-03-22 07:08:37.153311
user_8,23,54,192.168.1.27,4,0,login,2025-04-06 23:05:37.121150
user_4,13,45,192.168.1.25,1,6,login,2025-04-08 13:12:37.126173
user_9,4,74,192.168.1.194,9,2,login,2025-04-08 04:09:37.109534
user_9,18,13,192.168.1.135,4,2,login,2025-04-07 18:43:37.126173
user_9,15,98,192.168.1.128,2,2,logout,2025-03-28 15:49:37.133186
user_4,0,1,192.168.1.209,1,2,login,2025-03-16 00:01:37.137201
user_3,19,72,192.168.1.199,3,5,login,2025-03-17 19:15:37.135190
user_2,10,61,192.168.1.207,4,3,login,2025-04-11 10:24:37.150228
user_7,10,45,192.168.1.80,3,4,logout,2025-03-13 10:40:37.130181
user_6,7,31,192.168.1.180,3,0,login,2025-04-04 07:27:37.165334
user_6,3,0,192.168.1.194,3,5,login,2025-04-11 18:34:37.105527
user_5,8,18,192.168.1.50,4,4,login,2025-03-17 08:24:37.118060
user_8,9,68,192.168.1.72,2,5,login,2025-04-11 09:09:37.166336
user_4,9,14,192.168.1.4,3,2,login,2025-03-18 09:49:37.160326
user_4,12,78,192.168.1.190,5,3,login,2025-03-13 12:03:37.105527
user_6,1,0,192.168.1.189,4,1,login,2025-03-20 01:37:37.107531
user_9,16,7,192.168.1.204,4,0,login,2025-03-27 16:05:37.162329
user_2,17,59,192.168.1.137,3,1,login,2025-03-18 17:10:37.128177
user_10,7,98,192.168.1.72,0,4,login,2025-03-16 07:49:37.158322
user_8,23,112,192.168.1.92,3,3,logout,2025-03-17 23:23:37.131183
user_3,10,58,192.168.1.107,1,5,login,2025-04-04 10:41:37.148224
user_2,1,180,192.168.1.224,1,6,login,2025-03-17 23:02:37.098494
user_6,0,17,192.168.1.50,1,5,login,2025-04-11 00:44:37.120064
user_8,22,3,192.168.1.197,4,2,login,2025-03-25 22:50:37.159324
user_9,7,30,192.168.1.241,4,3,login,2025-03-26 07:59:37.125171
user_5,13,49,192.168.1.228,2,3,login,2025-03-13 13:31:37.146220
user_6,18,66,192.168.1.145,4,4,login,2025-03-20 18:24:37.118060
user_1,14,66,192.168.1.63,0,1,logout,2025-04-05 14:05:37.121150
user_7,3,82,192.168.1.71,3,1,login,2025-04-07 03:54:37.140207
user_4,2,77,192.168.1.46,6,1,login,2025-03-17 02:18:37.113542
user_10,8,52,192.168.1.92,3,3,login,2025-03-19 08:25:37.131183
user_5,8,93,192.168.1.52,1,2,login,2025-03-20 08:08:37.143212
user_1,15,55,192.168.1.94,3,1,logout,2025-03-24 15:47:37.126173
user_2,18,26,192.168.1.66,2,0,logout,2025-03-25 18:23:37.156316
user_4,14,8,192.168.1.161,2,0,login,2025-04-03 14:20:37.155315
user_2,1,84,192.168.1.113,3,5,logout,2025-04-07 01:18:37.159324
user_4,15,77,192.168.1.165,4,3,login,2025-04-10 15:01:37.137201
user_2,4,79,192.168.1.36,1,3,login,2025-04-04 04:03:37.161327
user_10,3,0,192.168.1.250,3,5,login,2025-03-13 00:00:37.100499
user_8,7,13,192.168.1.71,7,3,login,2025-03-30 07:10:37.099496
user_6,3,1,192.168.1.241,4,2,login,2025-03-30 01:52:37.112540
user_9,23,84,192.168.1.179,2,1,login,2025-04-04 23:52:37.173410
user_8,22,50,192.168.1.187,3,6,login,2025-03-27 22:02:37.118060
user_9,0,34,192.168.1.202,1,5,login,2025-04-11 00:44:37.173410
user_9,21,49,192.168.1.32,5,6,logout,2025-03-24 21:36:37.099496
user_2,22,88,192.168.1.216,9,2,login,2025-03-26 22:01:37.110536
user_2,16,96,192.168.1.57,8,2,login,2025-04-10 16:04:37.108533
user_6,13,30,192.168.1.3,4,4,login,2025-03-16 13:57:37.175416
user_5,21,33,192.168.1.139,0,1,login,2025-03-15 21:55:37.167399
user_8,20,43,192.168.1.198,3,0,login,2025-04-04 20:14:37.125171
user_4,9,19,192.168.1.144,4,4,login,2025-04-02 09:38:37.129179
user_3,11,28,192.168.1.127,2,6,login,2025-04-06 11:16:37.165334
user_10,21,114,192.168.1.140,0,4,login,2025-04-11 21:13:37.124170
user_10,14,59,192.168.1.63,1,3,login,2025-04-07 14:46:37.123167
user_5,9,109,192.168.1.13,2,4,login,2025-03-13 09:35:37.137201
user_9,21,12,192.168.1.63,1,5,logout,2025-03-29 21:08:37.155315
user_4,4,23,192.168.1.6,3,2,login,2025-04-06 04:40:37.170405
user_8,13,63,192.168.1.134,2,3,login,2025-04-11 13:29:37.128177
user_7,18,65,192.168.1.146,1,5,login,2025-03-19 18:41:37.143212
user_8,20,72,192.168.1.168,0,4,login,2025-03-21 20:03:37.124170
user_7,15,106,192.168.1.2,3,1,login,2025-03-23 15:07:37.118060
user_8,18,11,192.168.1.173,9,6,logout,2025-04-05 18:02:37.099496
user_9,3,0,192.168.1.94,2,4,login,2025-03-27 16:27:37.111538
user_2,11,92,192.168.1.154,1,6,login,2025-04-09 11:20:37.169403
user_8,13,2,192.168.1.96,4,0,login,2025-03-19 13:35:37.154313
user_4,3,180,192.168.1.250,1,4,login,2025-03-14 06:35:37.106529
user_8,17,22,192.168.1.16,0,1,login,2025-03-19 17:28:37.147222
user_4,20,111,192.168.1.246,0,5,login,2025-04-05 20:01:37.133186
user_7,12,67,192.168.1.199,2,2,logout,2025-03-13 12:57:37.143212
user_2,6,55,192.168.1.118,1,2,login,2025-03-14 06:28:37.154313
user_3,6,118,192.168.1.79,3,0,login,2025-03-29 06:42:37.130181
user_4,22,102,192.168.1.243,0,5,login,2025-03-25 22:55:37.141208
user_2,23,59,192.168.1.34,4,5,login,2025-03-31 23:59:37.136199
user_7,4,11,192.168.1.118,0,6,login,2025-03-27 04:00:37.152309
user_3,1,89,192.168.1.178,9,5,login,2025-04-06 01:30:37.111538
user_6,18,31,192.168.1.31,1,4,login,2025-03-16 18:34:37.126173
user_2,22,96,192.168.1.203,4,2,login,2025-03-23 22:07:37.154313
user_5,0,17,192.168.1.132,0,5,login,2025-03-15 00:59:37.119062
user_3,3,48,192.168.1.33,4,3,login,2025-03-27 03:02:37.138203
user_2,23,85,192.168.1.66,3,5,login,2025-03-29 23:22:37.168401
user_2,17,45,192.168.1.59,2,5,login,2025-03-30 17:39:37.132184
user_1,10,86,192.168.1.29,4,2,login,2025-03-15 10:34:37.158322
user_2,6,37,192.168.1.112,3,0,logout,2025-04-07 06:54:37.121150
user_2,13,42,192.168.1.44,9,0,login,2025-03-20 13:11:37.098494
user_10,13,31,192.168.1.77,9,4,login,2025-04-10 13:10:37.115049
user_8,6,51,192.168.1.255,2,5,login,2025-04-02 06:14:37.124170
user_8,20,36,192.168.1.67,4,1,login,2025-04-10 20:06:37.155315
user_4,13,54,192.168.1.171,0,0,login,2025-03-29 13:16:37.171406
user_10,12,4,192.168.1.109,3,1,login,2025-04-03 12:13:37.150228
user_7,12,50,192.168.1.37,3,0,login,2025-03-19 12:25:37.147222
user_8,7,38,192.168.1.153,1,5,login,2025-04-01 07:02:37.143212
user_4,21,113,192.168.1.176,6,6,login,2025-04-03 21:40:37.101507
user_8,2,62,192.168.1.240,4,5,login,2025-04-10 02:41:37.115049
user_6,6,19,192.168.1.87,4,1,login,2025-03-16 06:25:37.120064
user_7,9,36,192.168.1.64,1,6,logout,2025-03-23 09:16:37.172408
user_8,10,90,192.168.1.204,9,3,login,2025-03-28 10:50:37.107531
user_9,22,42,192.168.1.51,3,3,login,2025-04-01 22:02:37.140207
user_1,4,71,192.168.1.171,4,3,logout,2025-03-27 04:34:37.131183
user_8,0,71,192.168.1.243,4,2,login,2025-04-09 00:12:37.116054
user_6,23,26,192.168.1.165,3,5,login,2025-03-25 23:09:37.142210
user_10,1,28,192.168.1.80,5,0,login,2025-04-10 01:45:37.102509
user_10,11,61,192.168.1.169,2,0,logout,2025-04-10 11:09:37.160326
user_6,3,111,192.168.1.245,3,0,login,2025-04-03 03:05:37.171406
user_5,18,106,192.168.1.29,1,3,login,2025-03-20 18:29:37.148224
user_2,23,9,192.168.1.225,2,2,login,2025-04-01 23:23:37.169403
user_2,22,18,192.168.1.188,5,2,login,2025-03-19 22:31:37.108533
user_4,19,74,192.168.1.160,4,0,logout,2025-04-08 19:22:37.136199
user_5,18,105,192.168.1.162,2,6,login,2025-03-26 18:45:37.128177
user_5,6,63,192.168.1.33,0,6,login,2025-04-05 06:36:37.176469
user_10,9,104,192.168.1.206,7,1,login,2025-04-07 09:41:37.103511
user_10,12,30,192.168.1.247,2,5,login,2025-03-20 12:29:37.118060
user_6,22,70,192.168.1.254,4,4,login,2025-04-10 22:30:37.161327
user_5,1,96,192.168.1.78,2,3,login,2025-04-07 01:36:37.149226
user_9,9,29,192.168.1.161,3,1,login,2025-03-23 09:22:37.165334
user_1,2,180,192.168.1.218,0,0,login,2025-03-14 01:35:37.100499
user_5,13,28,192.168.1.63,3,5,login,2025-04-08 13:10:37.170405
user_6,18,84,192.168.1.93,0,5,login,2025-03-14 18:22:37.129179
user_10,8,61,192.168.1.147,4,6,login,2025-04-10 08:21:37.118060
user_6,18,33,192.168.1.6,2,5,login,2025-03-18 18:56:37.122163
user_7,11,116,192.168.1.208,1,1,login,2025-03-15 11:49:37.136199
user_7,8,55,192.168.1.149,1,6,login,2025-03-18 08:50:37.176469
user_3,3,63,192.168.1.98,3,6,login,2025-04-01 03:17:37.146220
user_5,17,45,192.168.1.113,4,3,login,2025-04-03 17:57:37.165334
user_9,18,9,192.168.1.32,0,1,login,2025-04-09 18:40:37.161327
user_7,20,101,192.168.1.27,3,3,login,2025-03-30 20:49:37.171406
user_4,5,56,192.168.1.232,3,2,login,2025-03-14 05:15:37.160326
user_2,8,31,192.168.1.238,1,5,login,2025-04-07 08:26:37.144214
user_10,23,42,192.168.1.130,5,1,login,2025-03-17 23:18:37.098494
user_8,2,1,192.168.1.194,0,3,login,2025-03-31 19:45:37.106529
user_3,21,3,192.168.1.120,5,2,login,2025-04-02 21:06:37.099496
user_1,0,113,192.168.1.229,3,3,login,2025-03-30 00:32:37.148224
