user_id,login_hour,session_duration,ip_address,failed_attempts,day_of_week,event_type,timestamp,is_business_hours,is_weekend,is_night,short_session,long_session,night_weekend,failed_night,ip_last_octet,ip_risk,predicted_anomaly,anomaly_score
user_6,13,2,192.168.1.244,4,4,login,2025-03-15 13:37:37.140207,1,0,0,1,0,0,0,244,1,1,-0.08053800000071032
user_5,20,97,192.168.1.150,3,3,login,2025-04-04 20:07:37.157320,0,0,0,0,0,0,0,150,0,0,0.09495628213682844
user_9,2,10,192.168.1.57,1,4,login,2025-03-16 02:04:37.157320,0,0,1,0,0,0,1,57,0,0,0.04660359085748439
user_6,7,70,192.168.1.65,0,1,logout,2025-03-14 07:01:37.151229,0,0,0,0,0,0,0,65,0,0,0.04721457278240471
user_5,5,16,192.168.1.241,0,2,login,2025-04-07 05:09:37.131183,0,0,1,0,0,0,0,241,1,0,0.009056352751108054
user_2,11,93,192.168.1.234,1,2,logout,2025-03-18 11:36:37.152309,1,0,0,0,0,0,0,234,1,0,0.04165490169768554
user_5,13,15,192.168.1.6,0,2,logout,2025-04-03 13:36:37.148224,1,0,0,0,0,0,0,6,1,0,0.011121800754449351
user_8,16,98,192.168.1.160,2,3,login,2025-03-28 16:52:37.139205,1,0,0,0,0,0,0,160,0,0,0.09442667327693505
user_10,9,8,192.168.1.29,3,5,login,2025-03-31 09:01:37.166336,1,1,0,0,0,0,0,29,0,0,0.032289208035913175
user_10,1,180,192.168.1.100,1,1,login,2025-04-08 01:53:37.109534,0,0,1,0,1,0,1,100,0,1,-0.07887416128305302
user_8,19,58,192.168.1.49,1,5,login,2025-04-02 19:00:37.162329,0,1,0,0,0,0,0,49,0,0,0.032823035654850896
user_8,0,1,192.168.1.224,2,1,login,2025-03-17 08:17:37.103511,0,0,1,1,0,0,2,224,1,1,-0.043268398551330134
user_7,16,113,192.168.1.160,3,6,login,2025-04-10 16:30:37.149226,1,1,0,0,0,0,0,160,0,0,0.012369711876377809
user_5,19,97,192.168.1.141,3,2,login,2025-03-31 19:37:37.175416,0,0,0,0,0,0,0,141,0,0,0.08395299309909082
user_6,18,96,192.168.1.148,1,4,logout,2025-03-19 18:28:37.172408,1,0,0,0,0,0,0,148,0,0,0.05892644416391857
user_4,0,78,192.168.1.95,2,1,login,2025-03-30 00:13:37.169403,0,0,1,0,0,0,2,95,0,0,0.04669478356498097
user_4,7,49,192.168.1.99,3,0,login,2025-03-30 07:46:37.121150,0,0,0,0,0,0,0,99,0,0,0.059731239257275026
user_8,5,93,192.168.1.201,0,3,logout,2025-03-23 05:21:37.168401,0,0,1,0,0,0,0,201,1,0,0.014521352952397981
user_4,6,116,192.168.1.201,4,4,login,2025-03-31 06:32:37.158322,0,0,0,0,0,0,0,201,1,1,-0.0026457384448707044
user_1,14,54,192.168.1.154,4,6,login,2025-03-30 14:47:37.124170,1,1,0,0,0,0,0,154,0,0,0.041807827934964514
user_9,21,8,192.168.1.215,3,0,login,2025-03-14 21:48:37.142210,0,0,0,0,0,0,0,215,1,0,0.0010274994856108721
user_8,1,1,192.168.1.35,3,1,login,2025-03-31 20:06:37.112540,0,0,1,1,0,0,3,35,0,0,0.014734349698125815
user_8,0,76,192.168.1.117,1,2,login,2025-04-03 00:53:37.128177,0,0,1,0,0,0,1,117,0,0,0.049318253489821384
user_3,21,111,192.168.1.245,3,3,login,2025-03-24 21:34:37.140207,0,0,0,0,0,0,0,245,1,0,0.024517931678800675
user_5,11,41,192.168.1.212,3,1,login,2025-03-20 11:08:37.116054,1,0,0,0,0,0,0,212,1,0,0.04809505594864644
user_4,23,89,192.168.1.141,3,5,logout,2025-03-30 23:21:37.118060,0,1,1,0,0,1,3,141,0,1,-0.013465365645963012
user_3,2,91,192.168.1.122,7,1,login,2025-03-14 02:27:37.106529,0,0,1,0,0,0,7,122,0,1,-0.04096765534526803
user_2,4,41,192.168.1.60,3,0,login,2025-03-13 04:41:37.176469,0,0,1,0,0,0,3,60,0,0,0.042787706346183396
user_10,10,33,192.168.1.92,2,6,login,2025-04-03 10:35:37.169403,1,1,0,0,0,0,0,92,0,0,0.04803252841254718
user_2,21,16,192.168.1.238,2,4,login,2025-03-31 21:37:37.173410,0,0,0,0,0,0,0,238,1,0,0.007817903364991885
user_3,11,95,192.168.1.202,1,3,login,2025-04-08 11:37:37.126173,1,0,0,0,0,0,0,202,1,0,0.04113722632671124
user_8,19,72,192.168.1.78,9,6,login,2025-03-27 19:37:37.109534,0,1,0,0,0,0,0,78,0,1,-0.0447079233853559
user_5,21,22,192.168.1.173,1,3,login,2025-04-08 21:42:37.148224,0,0,0,0,0,0,0,173,0,0,0.07949975207546045
user_2,21,78,192.168.1.158,1,3,login,2025-03-21 21:36:37.138203,0,0,0,0,0,0,0,158,0,0,0.08691742886072501
user_4,6,112,192.168.1.76,2,2,login,2025-03-24 06:53:37.128177,0,0,0,0,0,0,0,76,0,0,0.0674352217887571
user_3,3,180,192.168.1.5,3,1,login,2025-03-24 08:08:37.115049,0,0,1,0,1,0,3,5,1,1,-0.08471570370218406
user_1,11,81,192.168.1.43,2,4,login,2025-04-07 11:28:37.153311,1,0,0,0,0,0,0,43,0,0,0.0924164376292601
user_1,5,57,192.168.1.175,0,2,login,2025-04-09 05:48:37.145216,0,0,1,0,0,0,0,175,0,0,0.051247853584202085
user_8,9,84,192.168.1.73,3,3,login,2025-03-15 09:55:37.169403,1,0,0,0,0,0,0,73,0,0,0.0944125761117025
user_4,9,4,192.168.1.134,5,2,login,2025-03-19 09:47:37.102509,1,0,0,1,0,0,0,134,0,1,-0.05457416369342061
user_5,11,93,192.168.1.161,1,4,login,2025-03-25 11:40:37.125171,1,0,0,0,0,0,0,161,0,0,0.08356708323650186
user_7,3,48,192.168.1.13,8,3,login,2025-03-14 03:26:37.105527,0,0,1,0,0,0,8,13,0,1,-0.05325432137130248
user_8,9,76,192.168.1.118,0,5,login,2025-04-04 09:43:37.124170,1,1,0,0,0,0,0,118,0,0,0.029672862167360425
user_7,9,34,192.168.1.16,3,5,login,2025-03-27 09:01:37.175416,1,1,0,0,0,0,0,16,0,0,0.06377544780887784
user_2,4,78,192.168.1.173,2,2,login,2025-04-10 04:53:37.123167,0,0,1,0,0,0,2,173,0,0,0.07016988699685794
user_7,5,115,192.168.1.220,2,2,login,2025-04-09 05:49:37.121150,0,0,1,0,0,0,2,220,1,0,0.006291130950088375
user_6,12,90,192.168.1.188,2,3,login,2025-03-13 12:01:37.171406,1,0,0,0,0,0,0,188,0,0,0.1102760106823702
user_10,8,47,192.168.1.137,0,2,login,2025-04-01 08:50:37.146220,1,0,0,0,0,0,0,137,0,0,0.07088136921726179
user_4,23,97,192.168.1.76,1,0,logout,2025-04-03 23:48:37.133186,0,0,1,0,0,0,1,76,0,1,-0.0046123168119877045
user_2,18,55,192.168.1.205,0,6,login,2025-03-22 18:44:37.164333,1,1,0,0,0,0,0,205,1,1,-0.02149135140650038
