user_id,login_hour,session_duration,ip_address,failed_attempts,day_of_week,event_type,timestamp
user_9,20,38,192.168.1.203,7,0,login,2025-03-28 20:00:37.097491
user_1,15,10,192.168.1.33,8,6,login,2025-04-04 15:55:37.097491
user_2,10,21,192.168.1.154,7,1,login,2025-03-13 10:00:37.097491
user_8,15,84,192.168.1.30,6,2,login,2025-04-07 15:31:37.097491
user_7,9,16,192.168.1.208,9,6,logout,2025-04-04 09:34:37.097491
user_9,0,1,192.168.1.67,3,3,logout,2025-04-01 01:33:37.097491
user_4,12,113,192.168.1.215,5,6,login,2025-04-02 12:39:37.097491
user_3,4,113,192.168.1.156,5,1,login,2025-04-02 04:02:37.097491
user_9,15,60,192.168.1.74,9,5,login,2025-03-23 15:45:37.097491
user_10,23,2,192.168.1.84,7,4,login,2025-04-03 23:42:37.097491
user_1,3,180,192.168.1.85,3,5,logout,2025-03-15 23:25:37.097491
user_5,4,20,192.168.1.77,7,1,login,2025-04-04 04:04:37.098494
user_7,18,58,192.168.1.10,7,5,login,2025-03-21 18:20:37.098494
user_4,8,34,192.168.1.176,7,3,login,2025-03-17 08:04:37.098494
user_8,1,180,192.168.1.234,1,6,login,2025-03-13 12:14:37.098494
user_5,0,180,192.168.1.142,1,5,login,2025-03-25 16:27:37.098494
user_10,23,42,192.168.1.130,5,1,login,2025-03-17 23:18:37.098494
user_5,1,180,192.168.1.197,4,3,login,2025-03-24 06:25:37.098494
user_2,13,42,192.168.1.44,9,0,login,2025-03-20 13:11:37.098494
user_2,1,180,192.168.1.224,1,6,login,2025-03-17 23:02:37.098494
user_8,3,1,192.168.1.186,1,0,login,2025-03-27 13:50:37.098494
user_4,1,1,192.168.1.82,0,0,login,2025-04-09 04:36:37.098494
user_3,21,3,192.168.1.120,5,2,login,2025-04-02 21:06:37.099496
user_6,1,180,192.168.1.229,4,0,login,2025-03-31 05:59:37.099496
user_7,1,1,192.168.1.17,2,6,login,2025-03-16 08:40:37.099496
user_8,17,70,192.168.1.110,8,1,logout,2025-03-25 17:14:37.099496
user_8,7,13,192.168.1.71,7,3,login,2025-03-30 07:10:37.099496
user_4,2,0,192.168.1.147,2,6,login,2025-04-05 22:50:37.099496
user_8,18,11,192.168.1.173,9,6,logout,2025-04-05 18:02:37.099496
user_6,0,0,192.168.1.224,0,6,logout,2025-04-04 09:33:37.099496
user_6,2,1,192.168.1.236,0,3,login,2025-03-21 05:27:37.099496
user_1,0,95,192.168.1.156,5,3,login,2025-03-29 00:37:37.099496
user_9,21,49,192.168.1.32,5,6,logout,2025-03-24 21:36:37.099496
user_1,21,20,192.168.1.123,8,2,login,2025-03-14 21:22:37.100499
user_3,2,76,192.168.1.63,8,5,login,2025-04-01 02:27:37.100499
user_6,1,20,192.168.1.214,5,5,login,2025-03-16 01:06:37.100499
user_9,17,35,192.168.1.81,9,6,login,2025-03-18 17:45:37.100499
user_10,3,0,192.168.1.250,3,5,login,2025-03-13 00:00:37.100499
user_5,0,0,192.168.1.94,1,1,login,2025-04-02 08:16:37.100499
user_6,16,71,192.168.1.163,9,5,login,2025-03-30 16:43:37.100499
user_6,1,180,192.168.1.137,4,4,login,2025-04-08 20:07:37.100499
user_8,12,93,192.168.1.158,8,1,login,2025-04-01 12:31:37.100499
user_9,9,53,192.168.1.64,6,5,login,2025-03-27 09:22:37.100499
user_1,2,180,192.168.1.218,0,0,login,2025-03-14 01:35:37.100499
user_7,3,0,192.168.1.152,4,2,login,2025-04-03 04:36:37.101507
user_3,2,180,192.168.1.14,4,6,login,2025-03-28 14:40:37.101507
user_4,23,49,192.168.1.246,6,4,login,2025-03-15 23:00:37.101507
user_10,1,1,192.168.1.13,1,5,login,2025-03-15 02:59:37.101507
user_4,21,113,192.168.1.176,6,6,login,2025-04-03 21:40:37.101507
user_7,1,0,192.168.1.178,0,3,login,2025-03-17 03:08:37.101507
user_2,0,180,192.168.1.146,1,0,login,2025-03-26 20:16:37.101507
user_6,20,47,192.168.1.200,9,4,login,2025-03-28 20:18:37.101507
user_7,20,18,192.168.1.27,8,4,login,2025-03-27 20:13:37.101507
user_6,2,180,192.168.1.226,1,0,login,2025-03-25 05:23:37.101507
user_5,5,16,192.168.1.186,9,0,logout,2025-04-02 05:21:37.101507
user_1,3,1,192.168.1.203,0,0,login,2025-03-14 03:42:37.102509
user_3,7,69,192.168.1.208,5,6,login,2025-03-24 07:11:37.102509
user_5,14,27,192.168.1.140,8,2,login,2025-03-28 14:18:37.102509
